rpm,torque,efficiency
594.5499662,35.47702896,78
631.7093391,36.25441704,78
702.3120625,37.52650123,78
761.7671442,37.45582959,78
724.6077713,36.89045644,78
694.8803014,36.32508734,78
687.4483984,35.68904524,78
672.5845926,35.05300314,78
650.2890255,34.20494612,78
642.8571226,33.56890402,78
627.9933168,33.00353087,78
601.9818691,31.87279131,78
575.9702798,30.95406399,78
561.1064739,30.31802189,78
527.6631234,29.39929322,78
497.9355116,28.69257948,78
505.3674146,30.53003278,78
516.5151981,32.08480624,78
542.5267875,33.71024461,78
598.2658468,34.84098956,78
579.6861603,33.85158925,78
594.5499662,33.28621879,78
568.5383768,32.72084834,78
553.674571,32.08480624,78
535.0948845,31.59010339,78
531.3790039,31.02473563,78
869.5292405,37.59717018,78
798.9265171,36.11307375,78
836.08589,37.17314436,78
746.9033383,33.1448755,78
691.164279,31.66077773,78
650.2890255,31.4487628,78
587.1180633,28.55123754,78
553.674571,27.49116558,78
497.9355116,25.44169735,78
434.7646911,22.19081253,78
382.7415124,20.98939863,78
356.729923,19.92932802,78
928.9843222,37.52650123,78
850.9495541,36.04240211,78
806.35842,35.40636001,78
769.1990471,34.77031522,78
765.4830248,34.27561776,78
642.8571226,29.75265009,78
676.3006149,30.95406399,78
720.891749,32.57950505,78
661.4368091,30.24735025,78
616.8455332,28.90459441,78
538.8109069,26.36042467,78
568.5383768,26.99646542,78
594.5499662,27.91519544,78
497.9355116,24.94699719,78
401.3211988,19.92932802,78
427.3327882,21.3427555,78
490.5037505,23.25088314,78
542.5267875,25.08834048,78
371.5937289,19.08127369,78
353.0140424,17.87985979,78
286.1271996,14.62897497,78
148.6374916,2.897525257,78
189.512745,2.897525257,78
245.2518044,2.826854962,78
208.0924315,4.381628426,78
144.9214692,8.480567581,78
144.9214692,8.480567581,78
144.9214692,7.632510553,78
144.9214692,7.632510553,78
133.7736857,6.431091264,78
141.2055886,5.159012462,78
144.9214692,4.169612147,78
167.217178,3.674914685,78
170.9330586,5.653709923,78
163.5011557,9.82332207,78
189.512745,11.23674955,78
230.3881403,12.65017703,78
1902.559778,2.756184666,78
1783.649899,2.544168387,78
375.3096095,2.614844075,78
