rpm,torque,efficiency
150.9622773,38.73015655,50
246.694573,38.73015655,50
136.234329,37.17813045,50
220.920488,37.38977148,50
231.9664843,35.76719568,50
231.9664843,33.58024786,50
209.8744917,31.95767206,50
187.7823586,29.62963023,50
184.1004067,28.78306883,50
173.0544103,28.00705578,50
162.0082736,25.96119928,50
147.2803253,24.55026451,50
143.5982329,23.35096941,50
136.234329,21.44620693,50
136.234329,30.9700153,50
154.6443697,33.36860684,50
150.9622773,35.90828701,50
121.5062403,28.57142915,50
176.7363623,34.77954161,50
128.8702847,19.9647265,50
346.1086802,38.37742286,60
353.4727246,37.38977148,60
331.380732,35.76719568,60
305.606647,34.49735223,60
301.924695,33.22751417,60
268.7865656,31.67548269,60
272.4685176,30.47619163,60
246.694573,28.57142915,60
224.6024399,26.9488547,60
224.6024399,25.46737157,60
213.5564436,24.0564368,60
206.1923993,22.64550203,60
198.8283549,21.02292758,60
184.1004067,19.47089879,60
158.3263216,17.70723032,60
132.5522366,16.57848358,60
452.8869723,38.16578453,74
589.1213013,38.23633153,74
743.765671,38.23633153,74
452.8869723,36.68430409,74
541.2552237,36.89594377,74
651.7154677,37.17813045,74
732.7195342,36.3315704,74
659.0793716,34.56790193,74
482.3430093,28.43033513,74
305.606647,21.51675528,74
364.5187209,25.32627756,74
493.3890056,27.37213405,74
585.4392089,33.58024786,74
508.1170943,34.7089946,74
600.1672976,35.83774269,74
423.4309353,35.0617283,74
460.2510166,33.15696716,74
666.4434159,33.08641746,74
828.45183,37.38977148,74
659.0793716,38.87125191,74
567.0291682,33.79188485,74
585.4392089,31.60493837,74
519.1630906,30.9700153,74
493.3890056,31.67548269,74
434.4769316,30.75837697,74
357.154817,28.28924112,74
463.9329686,29.98236392,74
526.5271349,29.98236392,74
438.1588836,27.58377373,74
353.4727246,26.73721233,74
423.4309353,26.38447864,74
379.2468096,24.47971885,74
338.7447763,23.63315744,74
401.3388022,23.49206343,74
441.840976,25.25573189,74
482.3430093,26.73721233,74
581.7572569,30.33509761,74
375.5648577,22.29276833,74
268.7865656,20.03527216,74
338.7447763,20.38800585,74
419.7488429,32.16931309,74
397.6568503,29.48853621,74
257.7405693,18.05996401,74
316.6526433,18.83597975,74
294.5606507,17.63668466,74
265.1046137,16.22574989,74
246.694573,14.53262708,74
235.6484362,15.30864282,74
206.1923993,13.26278094,74
173.0544103,11.99294557,74
158.3263216,10.65255646,74
132.5522366,9.029976625,74
128.8702847,6.913577157,74
128.8702847,5.220459736,74
128.8702847,3.245148901,74
4418.410041,2.96296087,74
4333.723741,2.751323883,74
4219.581264,2.892415208,74
4098.074884,2.892415208,74
3950.794558,2.892415208,74
3840.334314,2.751323883,74
3693.053989,2.821869545,74
3578.912074,2.821869545,74
3446.359556,2.96296087,74
3339.581545,3.033506532,74
386.610854,20.24691453,74
261.4225213,13.68606568,74
729.0375823,35.20281962,74
806.3596969,34.99118263,74
850.5438226,36.3315704,74
754.8116673,33.65079352,74
736.4016266,31.81657939,74
640.6693309,31.040565,74
673.8074603,29.91181557,74
596.4853457,28.92416284,74
603.8492496,27.51322807,74
555.9831719,26.45502699,74
519.1630906,25.11463788,74
486.0251017,24.0564368,74
456.5689242,22.36331669,74
382.9287616,18.34215205,74
342.4267283,16.50793523,74
213.5564436,10.37037112,74
195.146403,9.664903732,74
224.6024399,12.20457986,74
412.384939,21.6578493,74
301.924695,15.5202825,74
294.5606507,23.49206343,74
202.5104473,16.79011788,74
187.7823586,14.67371572,74
309.2885989,24.76190419,74
371.8827653,31.32274899,74
