motor torque
0
0.9
0.4
8.1
37.4
14
37.4
26.6
27.5
17.4
37.4
12.8
26.6
35.9
37.4
9.2
37.4
28.9
30.8
19.5
7.6
3.8
1.5
4.2
7.3
3.5
4
37.4
5.5
5.7
20.5
2.1
10.8
4.5
17.4
17.4
12.8
37.4
17.4
37.4
37.4
37.4
10.9
9.6
8.1
0.2
2
25.1
30.9
14.3
0.2
1.2
1.1
8.1
37.4
32.8
37.4
37.4
28.5
37.4
35.9
10
37.4
16.1
37.4
22
35.9
15.5
37.4
33.6
7.5
37.4
11.4
23.2
37.4
1.9
11.6
0.3
37.4
1.1
18.3
18.2
1
37.4
13.7
3.7
11.2
0.9
14.5
37.4
24
37.4
37.4
22
13.3
37.4
4.3
24.5
13.7
2.7
22
8.1
37.4
37.4
37.4
9.2
3.3
1.3
6.3
9.2
22.9
5
37.4
14.3
2.9
28.9
35.9
8.1
4.1
9.7
15.1
11.6
5.5
37.4
20.5
37.4
5.5
31.3
14
2
1.2
1.2
1
35.9
37.4
37.4
37.4
9.9
2.7
37.4
0.2
0.6
12.8
10
2.4
23.1
37.4
17.4
37.4
32.8
5.8
31.3
22.7
31.3
20.9
14.5
3.4
0.4
3.2
37.4
3.2
4.5
7.9
18.5
37.4
4
37.4
37.4
17.4
23.5
1.7
34.3
15.2
11.6
22
8.1
29.4
37.4
2.4
23.8
17.4
8.1
12.8
7.1
37.4
18.7
37.4
29.7
5.5
37.4
16.5
12.4
10.4
14.7
12.4
25.1
31.3
37.4
37.4
37.4
37.4
37.4
15.1
3.8
37.4
35.9
19.5
37.4
37.4
37.4
32.8
26.6
3.6
37.4
1.8
37.4
7.4
13.1
22.7
10.4
2.8
0.4
37.4
37.4
15.3
19.7
37.4
26.6
20.9
37.4
11.6
8.8
7.6
16.8
37.4
4.4
37.4
7.5
37.4
37.4
37.4
37.4
14.7
37.4
10.4
21.8
31.3
37.4
5.8
37.4
34.3
11
37.4
37.4
37.4
18.6
30.3
10.1
37.4
11.2
37.4
37.4
10.4
37.4
12.1
11.3
37.4
14.4
37.4
2.7
37.4
37.4
37.4
29.7
37.4
37.4
37.4
37.4
37.4
17.4
5.5
25.1
37.4
37.4
8.3
27.3
17.1
29.1
3.3
4.7
1.9
4.2
0.8
4.5
1.9
28.6
14.6
9.6
33.9
3.1
37.4
37.4
37.4
10
37.4
23.9
37.4
37.4
37.4
26.6
0.6
37.4
14.5
10.2
19.7
0.8
1.2
18.9
2.5
1.3
3.9
8.1
12.3
27.9
12.8
37.4
32.8
10.8
37.4
37.4
37.4
29.7
1.5
37.4
20.5
6.6
37.4
5.6
5.5
1
2.8
20.5
18.1
37.4
37.4
12.4
37.4
37.4
37.4
8.1
37.4
37.4
4.4
37.4
9.5
37.4
0.1
36.5
3.6
24
1.6
37.4
18.6
1.4
29.9
2.9
31.3
37.4
37.4
37.4
37.4
37.4
37.4
37.4
12.8
24.1
8.1
2.1
37.4
17.4
37.4
3.3
37.4
37.4
37.4
17.4
37.4
37.4
32.8
37.4
37.4
37.4
37.4
37.4
16.4
4.2
26.6
0.7
1
1.2
1
37.4
31.3
26.6
37.4
21.3
37.4
30.6
11.2
32.8
22.9
37.4
37.4
37.4
15.3
9.4
22
37.4
7.9
7.8
37.4
1.6
0.9
15.2
37.4
37.4
11.6
37.4
37.4
37.4
5
12.4
37.4
35.9
35.9
37.4
37.4
20.2
26.6
5
37.4
20.5
5.5
37.4
35.9
37.4
37.4
23.5
6.6
21.3
8.1
0.3
7.8
37.4
35.9
18.1
37.4
30.8
37.4
37.4
0.7
23.5
18.9
4.2
20.9
37.4
32.8
10.9
0.2
1.1
1.1
0.6
37.4
37.4
37.4
37.4
37.4
9.9
1.7
0.2
8.1
25.1
37.4
37.4
11.7
5
37.4
37.4
37.4
37.4
37.4
22
11
12.8
37.4
37.4
3.3
1.1
1.2
1.2
1.2
1.2
1.2
1.1
20.8
37.4
37.4
37.4
11.2
37.4
37.4
9.4
37.4
15.1
25.9
37.4
5.2
19
12.8
9.5
9
37.4
37.4
12.8
4.2
37.4
37.4
12.8
24
23.5
37.4
27.8
23.5
7.9
22
6.8
27.7
28.9
3.1
37.4
35.9
1.2
0.9
1.1
1
31.3
14.3
2.6
15.3
11.2
23.8
21.1
37.4
37.4
32.8
29.7
37.4
7.7
15.1
10.8
37.4
30.6
37.4
21.6
5.8
22
23.5
2.3
37.4
37.4
37.4
37.4
35.9
37.4
37.4
32.8
37.4
5.5
25.1
17.4
37.4
37.4
9.5
35.9
37.4
37.4
5.8
37.4
37.4
12.8
5.1
37.4
8.9
13.4
37.4
37.4
37.4
31.3
37.4
37.4
37.4
1.7
37.4
15.8
22.6
14.3
14.7
9.3
20.5
3.9
37.4
37.4
35.9
5.2
37.4
9.4
20.5
37.4
37.4
0.1
2.9
1.2
37.4
31.3
10.3
34.3
37.4
17.4
12.8
1.8
37.4
8.1
21.3
19.7
1.4
12.1
0.7
12.8
7.2
0.7
0.1
4.8
0.7
2.1
20.8
3.1
3.7
0.3
1.1
0.8
37.4
35
37.4
20.7
37.4
12.3
29.7
4.1
37.4
35.9
5.6
26.6
18.9
11.7
17.4
7
7.9
11.8
5.6
14.3
3.9
22.5
9
8.8
11.5
26.6
26.6
26
37.4
10
37.4
26.6
1
